Time,Empty,Time,Si_chip,Time,Paper+Si
-5.6056014,0.241701,10.2769359,0.109734,10.8108027,0.150999
-5.5388347,0.256447,10.3437026,0.259071,10.8775694,0.205887
-5.4721347,0.223468,10.4104026,0.31105,10.9442694,0.0866988
-5.405368,0.218802,10.4771693,0.287277,11.0110361,0.164382
-5.338668,0.238434,10.5438693,0.187088,11.0777361,0.176889
-5.2719013,0.241402,10.610636,0.277191,11.1445028,0.104151
-5.2052013,0.20416,10.677336,0.292656,11.2112028,0.117136
-5.1384346,0.263639,10.7441027,0.224915,11.2779695,0.121753
-5.0717346,0.127772,10.8108027,0.202492,11.3446695,0.148504
-5.0049679,0.113845,10.8775694,0.165558,11.4114362,0.106255
-4.9382679,-0.0352469,10.9442694,0.123764,11.4781362,0.0447793
-4.8715012,-0.195284,11.0110361,0.0120621,11.5449029,0.0673337
-4.8048012,-0.296007,11.0777361,-0.0338669,11.6116029,-0.00425552
-4.7380345,-0.311217,11.1445028,-0.0742188,11.6783696,-0.143482
-4.6713345,-0.0203468,11.2112028,-0.136208,11.7450696,-0.112354
-4.6045678,0.681808,11.2779695,0.267456,11.8118363,0.00252701
-4.5378678,0.90533,11.3446695,0.512848,11.8785363,0.124565
-4.4711011,0.772926,11.4114362,0.672592,11.945303,0.315731
-4.4044011,0.816425,11.4781362,0.574623,12.012003,0.417435
-4.3376344,0.665007,11.5449029,0.561012,12.0787697,0.451281
-4.2709344,0.674065,11.6116029,0.443871,12.1454697,0.348532
-4.2041677,0.552942,11.6783696,0.510956,12.2122364,0.351985
-4.1374677,0.578013,11.7450696,0.42144,12.2789364,0.315178
-4.070701,0.533643,11.8118363,0.459328,12.3457031,0.15349
-4.004001,0.572564,11.8785363,0.444351,12.4124031,0.0808666
-3.9372343,0.580283,11.945303,0.3619,12.4791698,-0.0217005
-3.8705343,0.646806,12.012003,0.435913,12.5458698,-0.187947
-3.8037676,0.64468,12.0787697,0.48748,12.6126365,-0.0665995
-3.7370676,0.55956,12.1454697,0.56163,12.6793365,0.0320952
-3.6703009,-0.00322128,12.2122364,0.23455,12.7461032,0.132494
-3.6036009,-0.587083,12.2789364,-0.0327148,12.8128032,0.224676
-3.5368342,-0.996735,12.3457031,-0.416893,12.8795699,0.211655
-3.4701342,-1.09146,12.4124031,-0.656906,12.9462699,0.0843668
-3.4033675,-1.21836,12.4791698,-0.912659,13.0130366,-0.0821347
-3.3366675,-1.09083,12.5458698,-0.855988,13.0797366,-0.237488
-3.2699008,-0.743863,12.6126365,-0.884972,13.1465033,-0.254775
-3.2032008,-0.633475,12.6793365,-0.501541,13.2132033,-0.406809
-3.1364341,-0.681557,12.7461032,-0.636421,13.27997,-0.467875
-3.0697341,-0.683209,12.8128032,-0.544708,13.34667,-0.53687
-3.0029674,-0.653196,12.8795699,-0.69104,13.4134367,-0.549813
-2.9362674,-0.646051,12.9462699,-0.531479,13.4801367,-0.616872
-2.8695007,-0.556534,13.0130366,-0.595367,13.5469034,-0.642558
-2.8028007,-0.435742,13.0797366,-0.441353,13.6136034,-0.580389
-2.736034,-0.194634,13.1465033,-0.493973,13.6803701,-0.527333
-2.669334,0.0340483,13.2132033,-0.243423,13.7470701,-0.394632
-2.6025673,0.22057,13.27997,-0.0543137,13.8138368,-0.228717
-2.5358673,0.488503,13.34667,0.122589,13.8805368,-0.147203
-2.4691006,0.797254,13.4134367,0.346519,13.9473035,0.00958509
-2.4024006,1.02708,13.4801367,0.442093,14.0140035,0.238937
-2.3356339,1.24571,13.5469034,0.675224,14.0807702,0.381235
-2.2689339,1.53012,13.6136034,0.945702,14.1474702,0.540453
-2.2021672,1.68301,13.6803701,1.19922,14.2142369,0.698589
-2.1354672,1.88368,13.7470701,1.17782,14.2809369,0.864974
-2.0687005,1.94838,13.8138368,1.34097,14.3477036,0.978334
-2.0020005,2.04192,13.8805368,1.62894,14.4144036,1.13016
-1.9352338,2.08021,13.9473035,1.5302,14.4811703,1.20773
-1.8685338,2.06918,14.0140035,1.60218,14.5478703,1.25522
-1.8017671,2.27281,14.0807702,1.70737,14.614637,1.32182
-1.7350671,2.27349,14.1474702,1.76782,14.681337,1.36381
-1.6683004,2.3167,14.2142369,1.84843,14.7481037,1.38242
-1.6016004,2.30695,14.2809369,1.80267,14.8148037,1.49757
-1.5348337,2.25457,14.3477036,1.91716,14.8815704,1.46844
-1.4681337,1.96526,14.4144036,1.90169,14.9482704,1.54476
-1.401367,1.61042,14.4811703,1.39013,15.0150371,1.38121
-1.334667,1.2637,14.5478703,1.24654,15.0817371,1.22197
-1.2679003,0.907579,14.614637,0.968353,15.1485038,1.07281
-1.2012003,0.695387,14.681337,0.699577,15.2152038,0.831801
-1.1344336,0.547543,14.7481037,0.47821,15.2819705,0.680817
-1.0677336,0.389629,14.8148037,0.366295,15.3486705,0.471331
-1.0009669,0.135097,14.8815704,0.283546,15.4154372,0.384212
-0.9342669,0.0358158,14.9482704,0.152138,15.4821372,0.363282
-0.8675002,-0.226067,15.0150371,-0.0181351,15.5489039,0.268616
-0.8008002,-0.544742,15.0817371,-0.37883,15.6156039,0.1042
-0.7340335,-0.747936,15.1485038,-0.535759,15.6823706,-0.0529845
-0.6673335,-1.03749,15.2152038,-0.767982,15.7490706,-0.10001
-0.6005668,-1.28637,15.2819705,-0.94857,15.8158373,-0.280558
