Time,Empty,Time,Si_chip,Time,Paper Only,Time,Paper+Si
-4.9382679,-0.0352469,10.9442694,0.123764,-4.4044011,-0.00686646,11.4781362,0.0447793
-4.8715012,-0.195284,11.0110361,0.0120621,-4.3376344,-0.0318222,11.5449029,0.0673337
-4.8048012,-0.296007,11.0777361,-0.0338669,-4.2709344,0.00128937,11.6116029,-0.00425552
-4.7380345,-0.311217,11.1445028,-0.0742188,-4.2041677,-0.0962372,11.6783696,-0.143482
-4.6713345,-0.0203468,11.2112028,-0.136208,-4.1374677,0.00363922,11.7450696,-0.112354
-4.6045678,0.681808,11.2779695,0.267456,-4.070701,0.485367,11.8118363,0.00252701
-4.5378678,0.90533,11.3446695,0.512848,-4.004001,0.590637,11.8785363,0.124565
-4.4711011,0.772926,11.4114362,0.672592,-3.9372343,0.801254,11.945303,0.315731
-4.4044011,0.816425,11.4781362,0.574623,-3.8705343,0.741234,12.012003,0.417435
-4.3376344,0.665007,11.5449029,0.561012,-3.8037676,0.781586,12.0787697,0.451281
-4.2709344,0.674065,11.6116029,0.443871,-3.7370676,0.779854,12.1454697,0.348532
-4.2041677,0.552942,11.6783696,0.510956,-3.6703009,0.603691,12.2122364,0.351985
-4.1374677,0.578013,11.7450696,0.42144,-3.6036009,0.568283,12.2789364,0.315178
-4.070701,0.533643,11.8118363,0.459328,-3.5368342,0.626701,12.3457031,0.15349
-4.004001,0.572564,11.8785363,0.444351,-3.4701342,0.604767,12.4124031,0.0808666
-3.9372343,0.580283,11.945303,0.3619,-3.4033675,0.467491,12.4791698,-0.0217005
-3.8705343,0.646806,12.012003,0.435913,-3.3366675,0.536415,12.5458698,-0.187947
-3.8037676,0.64468,12.0787697,0.48748,-3.2699008,0.600555,12.6126365,-0.0665995
-3.7370676,0.55956,12.1454697,0.56163,-3.2032008,0.337852,12.6793365,0.0320952
-3.6703009,-0.00322128,12.2122364,0.23455,-3.1364341,0.208168,12.7461032,0.132494
-3.6036009,-0.587083,12.2789364,-0.0327148,-3.0697341,-0.0704498,12.8128032,0.224676
-3.5368342,-0.996735,12.3457031,-0.416893,-3.0029674,-0.451813,12.8795699,0.211655
-3.4701342,-1.09146,12.4124031,-0.656906,-2.9362674,-0.856865,12.9462699,0.0843668
-3.4033675,-1.21836,12.4791698,-0.912659,-2.8695007,-0.816856,13.0130366,-0.0821347
-3.3366675,-1.09083,12.5458698,-0.855988,-2.8028007,-0.880028,13.0797366,-0.237488
