Var1,Var2,Var3
83.0478,-8.4375e-06,NaN
83.0555,-7e-06,NaN
83.0632,-7.75e-06,NaN
83.0709,-9.375e-06,NaN
83.0786,-7.6875e-06,NaN
83.0863,-5.6875e-06,NaN
83.094,-7.3125e-06,NaN
83.1017,-6.3125e-06,NaN
83.1094,-1.13125e-05,NaN
83.1171,-1.0875e-05,NaN
83.1248,-1.3125e-05,NaN
83.1325,-1.16875e-05,NaN
83.1402,-1e-05,NaN
83.1479,-9.75e-06,NaN
83.1556,-6.0625e-06,NaN
83.1633,-9e-06,NaN
83.171,-6.75e-06,NaN
83.1787,-6.625e-06,NaN
83.1864,-8.6875e-06,NaN
83.1941,-7.125e-06,NaN
83.2018,-2.875e-06,NaN
83.2095,-4.3125e-06,NaN
83.2172,-6.5e-06,NaN
83.2249,-6.375e-06,NaN
83.2326,-5.25e-06,NaN
83.2403,-6.9375e-06,NaN
83.248,-7.625e-06,NaN
83.2557,-4.5625e-06,NaN
83.2634,-3.3125e-06,NaN
83.2711,-5.25e-06,NaN
83.2788,-7.125e-06,NaN
83.2865,-6.625e-06,NaN
83.2942,-6.4375e-06,NaN
83.3018,-4.9375e-06,NaN
83.3095,-4e-06,NaN
83.3172,-2.5625e-06,NaN
83.3249,-2e-06,NaN
83.3326,1.875e-07,NaN
83.3403,1.0625e-06,NaN
83.348,2.0625e-06,NaN
83.3557,2.375e-06,NaN
83.3634,3.3125e-06,NaN
83.3711,3.75e-06,NaN
83.3788,1.1875e-06,NaN
83.3865,7.5e-07,NaN
83.3942,8.125e-07,NaN
83.4019,4.5e-06,NaN
83.4096,8.3125e-06,NaN
83.4173,5.5625e-06,NaN
83.425,1.08125e-05,NaN
83.4327,8.125e-06,NaN
83.4404,7e-06,NaN
83.4481,5.0625e-06,NaN
83.4558,5.125e-06,NaN
83.4635,7.6875e-06,NaN
83.4712,9.25e-06,NaN
83.4789,7.3125e-06,NaN
83.4866,7.6875e-06,NaN
83.4943,6.25e-06,NaN
83.502,3.625e-06,NaN
83.5097,3.5e-06,NaN
83.5174,5.125e-06,NaN
83.5251,4.125e-06,NaN
83.5328,-6.875e-07,NaN
83.5405,-1.1875e-06,NaN
83.5482,-1.25e-06,NaN
83.5559,-4.375e-07,NaN
83.5636,-2.6875e-06,NaN
83.5713,-3.875e-06,NaN
83.579,-7.625e-06,NaN
83.5867,-4.0625e-06,NaN
83.5944,-4.125e-06,NaN
83.6021,-6.4375e-06,NaN
83.6098,-2.125e-06,NaN
83.6175,-3.4375e-06,NaN
83.6252,-4.1875e-06,NaN
83.6329,-2.6875e-06,NaN
83.6406,-7e-06,NaN
83.6483,-4.375e-06,NaN
83.656,-9.5e-06,NaN
83.6637,-6.5e-06,NaN
83.6714,-7.875e-06,NaN
83.6791,-1.16875e-05,NaN
83.6868,-7.3125e-06,NaN
83.6945,-8e-06,NaN
83.7022,-8.5625e-06,NaN
83.7099,-7e-06,NaN
83.7176,-2.625e-06,NaN
83.7253,2.0625e-06,NaN
83.7329,1.625e-06,NaN
83.7406,2.25e-06,NaN
83.7483,2.1875e-06,NaN
83.756,-6.25e-07,NaN
83.7637,-3.75e-07,NaN
83.7714,-3.125e-07,NaN
83.7791,3.125e-07,NaN
83.7868,1.25e-06,NaN
83.7945,1.875e-06,NaN
83.8022,2.875e-06,NaN
83.8099,4.5625e-06,NaN
83.8176,6.9375e-06,NaN
83.8253,7.5625e-06,NaN
83.833,6.3125e-06,NaN
83.8407,8.375e-06,NaN
83.8484,5.8125e-06,NaN
83.8561,6.5625e-06,NaN
83.8638,5.0625e-06,NaN
83.8715,7e-06,NaN
83.8792,9.8125e-06,NaN
83.8869,1.13125e-05,NaN
83.8946,1.16875e-05,NaN
83.9023,1.28125e-05,NaN
83.91,1.14375e-05,NaN
83.9177,6.25e-06,NaN
83.9254,5.3125e-06,NaN
83.9331,3.3125e-06,NaN
83.9408,1.1875e-06,NaN
83.9485,-6.875e-07,NaN
83.9562,3.1875e-06,NaN
83.9639,4.75e-06,NaN
83.9716,3e-06,NaN
83.9793,1.375e-06,NaN
83.987,5.25e-06,NaN
83.9947,7.75e-06,NaN
84.0024,4.4375e-06,NaN
84.0101,3.4375e-06,NaN
84.0178,4.9375e-06,NaN
84.0255,1.375e-06,NaN
84.0332,-2.875e-06,NaN
84.0409,-5.625e-07,NaN
84.0486,3.0625e-06,NaN
84.0563,-4.375e-07,NaN
84.064,2.5625e-06,NaN
84.0717,3.4375e-06,NaN
84.0794,-9.375e-07,NaN
84.0871,-2.8125e-06,NaN
84.0948,6.25e-08,NaN
84.1025,-4.375e-06,NaN
84.1102,0,NaN
84.1179,-3.625e-06,NaN
84.1256,6.25e-07,NaN
84.1333,-2.5625e-06,NaN
84.141,2.8125e-06,NaN
84.1487,2e-06,NaN
84.1563,8.25e-06,NaN
84.164,3.8125e-06,NaN
84.1717,6.5625e-06,NaN
84.1795,-3.125e-07,NaN
