Var1,Var2,Var3
82.7784,-8.25e-06,1.025e-05
82.7861,-4.375e-06,1.0125e-05
82.7938,-1e-06,9.625e-06
82.8015,3.75e-06,1.0125e-05
82.8092,5.625e-06,9.25e-06
82.8169,6.625e-06,8.75e-06
82.8246,2.375e-06,9e-06
82.8323,1.125e-06,9.5e-06
82.84,-2.875e-06,8.75e-06
82.8477,-5.125e-06,9.125e-06
82.8554,-6.5e-06,8.25e-06
82.8631,-4.25e-06,8.75e-06
82.8708,-2.5e-06,7.75e-06
82.8784,1.75e-06,9.75e-06
82.8861,5.5e-06,9.75e-06
82.8938,5.875e-06,1.0375e-05
82.9015,5.75e-06,9.75e-06
82.9092,6.75e-06,1.025e-05
82.9169,3e-06,9.25e-06
82.9246,1.75e-06,8.5e-06
82.9323,2.75e-06,1.0125e-05
82.94,3.25e-06,8.875e-06
82.9477,6.5e-06,8.875e-06
82.9554,8.625e-06,9.75e-06
82.9631,1.0875e-05,8.875e-06
82.9708,1.4625e-05,9.25e-06
82.9785,1.75e-05,9.25e-06
82.9862,1.55e-05,9.375e-06
82.9939,1.625e-05,8.375e-06
83.0016,1.9625e-05,9.625e-06
83.0093,1.8375e-05,9.625e-06
83.017,1.8875e-05,9.5e-06
83.0247,2.0625e-05,9.25e-06
83.0324,1.925e-05,9.375e-06
83.0401,2.2e-05,9.75e-06
83.0478,2.05e-05,1.0375e-05
83.0555,2.2875e-05,9e-06
83.0632,2.7625e-05,9.75e-06
83.0709,2.375e-05,9.25e-06
83.0786,2.3125e-05,9.375e-06
83.0863,2.1625e-05,9.25e-06
83.094,2.3375e-05,9.375e-06
83.1017,2.125e-05,9.25e-06
83.1094,1.975e-05,8.75e-06
83.1171,1.5875e-05,9.5e-06
83.1248,1.475e-05,9.625e-06
83.1325,1.2e-05,9.25e-06
83.1402,1.225e-05,9e-06
83.1479,1.0125e-05,9.125e-06
83.1556,9.125e-06,9.5e-06
83.1633,7e-06,9.375e-06
83.171,5.25e-06,1.025e-05
83.1787,5e-07,8.875e-06
83.1864,-1e-06,8.75e-06
83.1941,-3.75e-06,9e-06
83.2018,-6.75e-06,1.05e-05
83.2095,-1e-05,9e-06
83.2172,-1.3125e-05,7.375e-06
83.2249,-1.675e-05,9.375e-06
83.2326,-2.025e-05,9.875e-06
83.2403,-2.3e-05,9.875e-06
83.248,-2.4875e-05,9.125e-06
83.2557,-2.7e-05,9e-06
83.2634,-2.625e-05,8.625e-06
83.2711,-2.6375e-05,1.2e-05
83.2788,-2.3125e-05,1.05e-05
83.2865,-1.95e-05,8.375e-06
83.2942,-1.6875e-05,8.75e-06
83.3018,-1.425e-05,1e-05
83.3095,-1.1625e-05,9.375e-06
83.3172,-9.125e-06,7.5e-06
83.3249,-8e-06,1.025e-05
83.3326,-6.125e-06,9.75e-06
83.3403,-5.625e-06,9.625e-06
83.348,-5.375e-06,8.375e-06
83.3557,-4.625e-06,8.375e-06
83.3634,-4.125e-06,1.1125e-05
83.3711,-3.625e-06,9e-06
83.3788,-1.375e-06,9.125e-06
83.3865,-2.5e-07,1.025e-05
83.3942,1.125e-06,9.125e-06
