Time,Empty,Time,Quartz Only,Time,Paper Only,Time,Quartz+Paper
-1.2679003,0.907579,6.1394682,0.961487,-0.7340335,1.04892,6.673335,1.27592
-1.2012003,0.695387,6.2062349,0.606689,-0.6673335,0.815605,6.7401017,0.982231
-1.1344336,0.547543,6.2729349,0.532288,-0.6005668,0.592651,6.8068017,0.778175
-1.0677336,0.389629,6.3397016,0.352196,-0.5338668,0.431198,6.8735684,0.608879
-1.0009669,0.135097,6.4064016,0.414032,-0.4671001,0.187241,6.9402684,0.652832
-0.9342669,0.0358158,6.4731683,0.326721,-0.4004001,0.0839233,7.0070351,0.364159
-0.8675002,-0.226067,6.5398683,0.151047,-0.3336334,-0.106285,7.0737351,0.374008
-0.8008002,-0.544742,6.606635,-0.0887985,-0.2669334,-0.275162,7.1405018,0.0617447
-0.7340335,-0.747936,6.673335,-0.239273,-0.2001667,-0.519852,7.2072018,-0.0692978
-0.6673335,-1.03749,6.7401017,-0.354599,-0.1334667,-0.698883,7.2739685,-0.449135
-0.6005668,-1.28637,6.8068017,-0.635857,-0.0667,-0.937546,7.3406685,-0.686089
-0.5338668,-1.53739,6.8735684,-0.713455,0,-1.21818,7.4074352,-1.00624
-0.4671001,-1.74191,6.9402684,-1.03419,0.0667667,-1.37469,7.4741352,-1.32295
-0.4004001,-1.95289,7.0070351,-1.14708,0.1334667,-1.54449,7.5409019,-1.56894
-0.3336334,-2.1508,7.0737351,-1.25366,0.2002334,-1.83044,7.6076019,-1.7799
-0.2669334,-2.27576,7.1405018,-1.31648,0.2669334,-2.055,7.6743686,-1.93562
-0.2001667,-2.34927,7.2072018,-1.36957,0.3337001,-2.02064,7.7410686,-1.96637
-0.1334667,-2.41909,7.2739685,-1.20557,0.4004001,-2.09332,7.8078353,-1.95473
-0.0667,-2.50513,7.3406685,-0.980347,0.4671668,-2.0887,7.8745353,-1.99854
0,-2.45663,7.4074352,-0.748535,0.5338668,-2.16537,7.941302,-1.93194
0.0667667,-2.24426,7.4741352,-0.405762,0.6006335,-1.92588,8.008002,-1.82431
0.1334667,-1.41557,7.5409019,0.062439,0.6673335,-1.49125,8.0747687,-1.45349
0.2002334,-0.34204,7.6076019,0.998291,0.7341002,-1.07523,8.1414687,-0.996674
0.2669334,0.112438,7.6743686,1.72847,0.8008002,-0.432816,8.2082354,-0.567215
0.3337001,0.159673,7.7410686,2.48811,0.8675669,-0.0381851,8.2749354,-0.2118
0.4004001,0.326291,7.8078353,2.83094,0.9342669,0.249565,8.3417021,0.315163
0.4671668,0.337848,7.8745353,2.87452,1.0010336,0.400368,8.4084021,0.361862
0.5338668,0.355155,7.941302,2.68951,1.0677336,0.598152,8.4751688,0.518257
0.6006335,0.305339,8.008002,2.84563,1.1345003,0.581833,8.5418688,0.444183
0.6673335,0.320121,8.0747687,3.26042,1.2012003,0.501038,8.6086355,0.500275
0.7341002,0.324959,8.1414687,3.38375,1.267967,0.188622,8.6753355,0.449944
0.8008002,0.154837,8.2082354,3.15377,1.334667,-0.129463,8.7421022,0.118378
0.8675669,-0.246043,8.2749354,2.94539,1.4014337,-0.659447,8.8088022,-0.109299
0.9342669,-0.900551,8.3417021,2.57688,1.4681337,-1.26929,8.8755689,-0.85762
1.0010336,-1.98291,8.4084021,1.58279,1.5349004,-2.30871,8.9422689,-1.69421
1.0677336,-3.76546,8.4751688,-0.253464,1.6016004,-3.82851,9.0090356,-3.38718
1.1345003,-6.76157,8.5418688,-3.29081,1.6683671,-6.47139,9.0757356,-5.7349
1.2012003,-11.6705,8.6086355,-8.66083,1.7350671,-11.1246,9.1425023,-10.3945
1.267967,-21.0619,8.6753355,-17.8826,1.8018338,-19.6236,9.2092023,-17.8935
1.334667,-39.3824,8.7421022,-35.3314,1.8685338,-35.3386,9.275969,-31.2412
1.4014337,-77.8209,8.8088022,-62.9034,1.9353005,-64.2417,9.342669,-52.0317
1.4681337,-142.921,8.8755689,-107.481,2.0020005,-112.06,9.4094357,-82.7877
1.5349004,-239.475,8.9422689,-160.229,2.0687672,-172.028,9.4761357,-118.546
1.6016004,-331.381,9.0090356,-214.135,2.1354672,-220.413,9.5429024,-152.913
1.6683671,-358.977,9.0757356,-240.268,2.2022339,-221.006,9.6096024,-169.316
1.7350671,-198.907,9.1425023,-196.144,2.2689339,-149.272,9.6763691,-149.643
1.8018338,164.564,9.2092023,-69.1943,2.3357006,-30.2443,9.7430691,-86.2123
1.8685338,333.706,9.275969,123.019,2.4024006,94.6092,9.8098358,17.8122
1.9353005,289.627,9.342669,287.96,2.4691673,193.144,9.8765358,121.239
2.0020005,275.283,9.4094357,342.849,2.5358673,235.593,9.9433025,197.99
2.0687672,224.879,9.4761357,259.043,2.602634,220.579,10.0100025,217.793
2.1354672,178.742,9.5429024,118.973,2.669334,181.436,10.0767692,191.957
2.2022339,131.606,9.6096024,52.493,2.7361007,143.298,10.1434692,145.261
2.2689339,92.0242,9.6763691,75.5145,2.8028007,112.35,10.2102359,98.9794
2.3357006,61.8572,9.7430691,95.2015,2.8695674,81.6082,10.2769359,70.2512
2.4024006,37.0497,9.8098358,44.6249,2.9362674,55.9469,10.3437026,52.0129
2.4691673,19.6359,9.8765358,-12.5402,3.0030341,34.8725,10.4104026,38.864
2.5358673,6.48665,9.9433025,-5.09134,3.0697341,18.4131,10.4771693,22.7788
2.602634,-2.94009,10.0100025,19.6256,3.1365008,9.73666,10.5438693,7.19214
2.669334,-9.08901,10.0767692,-3.46883,3.2032008,6.93897,10.610636,-0.459717
2.7361007,-11.4553,10.1434692,-26.7594,3.2699675,3.16619,10.677336,0.690567
2.8028007,-9.55067,10.2102359,-7.29698,3.3366675,-3.17734,10.7441027,0.944122
2.8695674,-7.96812,10.2769359,0.236061,3.4034342,-9.00219,10.8108027,-3.28164
2.9362674,-9.23171,10.3437026,-15.607,3.4701342,-10.4023,10.8775694,-6.52098
3.0030341,-9.04344,10.4104026,-7.72472,3.5369009,-8.41267,10.9442694,-7.89797
3.0697341,-9.83794,10.4771693,-2.09124,3.6036009,-8.02885,11.0110361,-9.81183
3.1365008,-11.3325,10.5438693,-17.7903,3.6703676,-9.59048,11.0777361,-8.90403
3.2032008,-11.8725,10.610636,-10.1509,3.7370676,-11.8293,11.1445028,-6.55618
3.2699675,-12.2254,10.677336,-1.99375,3.8038343,-12.7596,11.2112028,-8.37041
3.3366675,-12.2779,10.7441027,-20.0774,3.8705343,-12.7915,11.2779695,-11.6325
3.4034342,-11.9704,10.8108027,-13.1302,3.937301,-11.6809,11.3446695,-11.3458
